hit_rate,player,defender
1.0,al jefferson,"Hardaway Jr., Tim"
1.0,cody zeller,"Price, Ronnie"
1.0,gary neal,"Smart, Marcus"
1.0,gerald henderson,"Bazemore, Kent"
1.0,lance stephenson,"Fournier, Evan"
1.0,dante exum,"Williams, Mo"
1.0,jeremy lin,"Gobert, Rudy"
1.0,kobe bryant,"Jefferson, Al"
1.0,ed davis,"Snell, Tony"
1.0,robert sacre,"Payton, Elfrid"
1.0,leandro barbosa,"Neal, Gary"
1.0,stephen curry,"Matthews, Wesley"
1.0,draymond green,"Westbrook, Russell"
1.0,mike scott,"Griffin, Blake"
1.0,demarre carroll,"Ingles, Joe"
1.0,garrett temple,"Mbah a Moute, Luc"
1.0,paul pierce,"Afflalo, Arron"
1.0,omer asik,"Matthews, Wesley"
1.0,tyreke evans,"Parker, Tony"
1.0,luke babbitt,"Jones, Perry"
1.0,kyle lowry,"Stoudemire, Amar'e"
1.0,gerald henderson,"Westbrook, Russell"
1.0,jason maxiell,"Sacre, Robert"
1.0,jon ingles,"Evans, Tyreke"
1.0,carlos boozer,"Napier, Shabazz"
1.0,carlos boozer,"West, David"
1.0,jordan hill,"Arthur, Darrell"
1.0,harrison barnes,"Muhammad, Shabazz"
1.0,leandro barbosa,"Collison, Nick"
1.0,paul millsap,"Thornton, Marcus"
1.0,paul millsap,"Freeland, Joel"
1.0,paul millsap,"Beverley, Patrick"
1.0,kent bazemore,"Jefferson, Richard"
1.0,andre miller,"Turner, Evan"
1.0,kevin seraphin,"Gasol, Pau"
1.0,ryan anderson,"Adams, Steven"
1.0,tyreke evans,"Wade, Dwyane"
1.0,alexis ajinca,"Meeks, Jodie"
1.0,terrence ross,"Kanter, Enes"
1.0,cody zeller,"Seraphin, Kevin"
1.0,gary neal,"Hickson, JJ"
1.0,ronnie price,"Aminu, Al-Farouq"
1.0,wayne ellington,"Crowder, Jae"
1.0,robert sacre,"Pondexter, Quincy"
1.0,marreese speights,"Wright, Brandan"
1.0,pero antic,"Smith, Greg"
1.0,kent bazemore,"Adams, Steven"
1.0,garrett temple,"Monroe, Greg"
1.0,kyle lowry,"Dudley, Jared"
1.0,dante exum,"Withey, Jeff"
1.0,dante exum,"Price, A.J."
1.0,stephen curry,"Johnson, Nick"
1.0,stephen curry,"Williams, Marvin"
1.0,marreese speights,"Roberson, Andre"
1.0,shaun livingston,"Dellavedova, Matthew"
1.0,andrew bogut,"Ibaka, Serge"
1.0,al horford,"Diaw, Boris"
1.0,dennis schroder,"Deng, Luol"
1.0,jeff teague,"Wright, Dorell"
1.0,anthony davis,"Mbah a Moute, Luc"
1.0,jimmer dredette,"Westbrook, Russell"
1.0,tyler hansbrough,"Green, Erick"
1.0,al jefferson,"Lillard, Damian"
1.0,kemba walker,"Dalembert, Samuel"
1.0,trevor booker,"Green, JaMychal"
1.0,enes kanter,"Robinson, Thomas"
1.0,ronnie price,"Hansbrough, Tyler"
1.0,wayne ellington,"Zeller, Tyler"
1.0,jordan hill,"Moore, E'Twaun"
1.0,robert sacre,"Zeller, Tyler"
1.0,klay thompson,"Johnson, Nick"
1.0,pero antic,"Covington, Robert"
1.0,otto porter,"Zeller, Cody"
1.0,bradley beal,"Lawson, Ty"
1.0,garrett temple,"Sanders, Larry"
1.0,garrett temple,"Nowitzki, Dirk"
1.0,alexis ajinca,"Dragic, Goran"
1.0,terrence ross,"Rudez, Damjan"
1.0,lance stephenson,"Chandler, Wilson"
1.0,marvin williams,"Carter-Williams, Michael"
1.0,enes kanter,"Deng, Luol"
1.0,dante exum,"Barbosa, Leandro"
1.0,jeremy lin,"Barnes, Harrison"
1.0,jordan hill,"Roberts, Brian"
1.0,klay thompson,"Acy, Quincy"
1.0,andre iguodala,"Lowry, Kyle"
1.0,thabo sefolosha,"Gobert, Rudy"
1.0,thabo sefolosha,"Harris, Tobias"
1.0,paul millsap,"Hummel, Robbie"
1.0,kent bazemore,"Leuer, Jon"
1.0,kris humphries,"Redick, JJ"
1.0,kris humphries,"Korver, Kyle"
1.0,bradley beal,"Pachulia, Zaza"
1.0,ryan anderson,"Smart, Marcus"
1.0,ryan anderson,"Dedmon, Dewayne"
1.0,cody zeller,"Roberson, Andre"
1.0,gary neal,"Watson, CJ"
1.0,kemba walker,"Ariza, Trevor"
1.0,lance stephenson,"Foye, Randy"
1.0,lance stephenson,"Thomas, Lance"
1.0,gordon hayward,"Harden, James"
1.0,trevor booker,"Tucker, PJ"
1.0,trevor booker,"Mahinmi, Ian"
1.0,enes kanter,"Mirotic, Nikola"
1.0,dante exum,"Pargo, Jannero"
1.0,jon ingles,"Lillard, Damian"
1.0,trey burke,"Pachulia, Zaza"
1.0,trey burke,Nene
1.0,rudy gobert,"Smith, Jason"
1.0,nick young,"Aldridge, LaMarcus"
1.0,nick young,"Afflalo, Arron"
1.0,harrison barnes,"Davis, Glen"
1.0,stephen curry,"Miller, Mike"
1.0,klay thompson,"Asik, Omer"
1.0,draymond green,"Zeller, Tyler"
1.0,demarre carroll,"Mayo, O.J."
1.0,paul pierce,"Korver, Kyle"
1.0,rasual butler,"Bazemore, Kent"
1.0,ryan anderson,"Lamb, Jeremy"
1.0,tyreke evans,"Bogut, Andrew"
1.0,luke babbitt,"Burke, Trey"
1.0,luke babbitt,"Afflalo, Arron"
1.0,kyle lowry,"Mills, Patty"
1.0,kyle lowry,"Ibaka, Serge"
1.0,cody zeller,"West, David"
1.0,gary neal,"Sullinger, Jared"
1.0,michael kidd-gilchrist,"Gobert, Rudy"
1.0,jeremy lin,"Bogut, Andrew"
1.0,ed davis,"Crowder, Jae"
1.0,wayne ellington,"Nurkic, Jusuf"
1.0,shaun livingston,"Lillard, Damian"
1.0,dennis schroder,"Gobert, Rudy"
1.0,kyle korver,"Hummel, Robbie"
1.0,pero antic,"Garnett, Kevin"
1.0,pero antic,"Butler, Rasual"
1.0,demarre carroll,"Monroe, Greg"
1.0,bradley beal,"Ellis, Monta"
1.0,kevin seraphin,"Valanciunas, Jonas"
1.0,paul pierce,"Hill, Solomon"
1.0,omer asik,"Freeland, Joel"
1.0,tyreke evans,"Jefferson, Al"
1.0,kyle lowry,"Anderson, Alan"
1.0,bismack biyombo,"Chalmers, Mario"
1.0,trevor booker,"Aldemir, Furkan"
1.0,dante exum,"Allen, Lavoy"
1.0,jon ingles,"Adams, Steven"
1.0,jon ingles,"Hansbrough, Tyler"
1.0,trey burke,"Patterson, Patrick"
1.0,leandro barbosa,"Sacre, Robert"
1.0,marreese speights,"Early, Cleanthony"
1.0,andrew bogut,"Len, Alex"
1.0,al horford,"Salmons, John"
1.0,kent bazemore,"Waiters, Dion"
1.0,otto porter,"Sullinger, Jared"
1.0,otto porter,"Copeland, Chris"
1.0,omer asik,"Teague, Jeff"
1.0,omer asik,"Durant, Kevin"
1.0,ryan anderson,"Green, Danny"
1.0,jimmer dredette,"Snell, Tony"
1.0,terrence ross,"Gordon, Aaron"
1.0,gary neal,"Anthony, Carmelo"
1.0,marvin williams,"Valanciunas, Jonas"
1.0,trevor booker,"Williams, Marvin"
1.0,derrick favors,"Faried, Kenneth"
1.0,derrick favors,"Johnson, Joe"
1.0,jon ingles,"Karasev, Sergey"
1.0,ed davis,"Anderson, Alan"
1.0,leandro barbosa,"Lillard, Damian"
1.0,marreese speights,"Frye, Channing"
1.0,andre iguodala,"Webster, Martell"
1.0,al horford,"Hickson, JJ"
1.0,kyle korver,"Johnson, Joe"
1.0,kevin seraphin,"Adrien, Jeff"
1.0,rasual butler,"Lowry, Kyle"
1.0,rasual butler,"Williams, Marvin"
1.0,nene hilario,"Kaman, Chris"
1.0,john wall,"Thompson, Hollis"
1.0,john wall,"Miles, CJ"
1.0,dante cunningham,"Ennis, James"
1.0,kyle lowry,"Young, James"
1.0,gary neal,"Conley, Mike"
1.0,kemba walker,"Dragic, Goran"
1.0,lance stephenson,"Sims, Henry"
1.0,marvin williams,"Tolliver, Anthony"
1.0,gordon hayward,"Zeller, Tyler"
1.0,derrick favors,"Holiday, Jrue"
1.0,robert sacre,"Humphries, Kris"
1.0,harrison barnes,"Sessions, Ramon"
1.0,harrison barnes,"Bogdanovic, Bojan"
1.0,leandro barbosa,"Scott, Mike"
1.0,leandro barbosa,"Morris, Marcus"
1.0,kent bazemore,"Johnson, Joe"
1.0,kent bazemore,"Copeland, Chris"
1.0,marcin gortat,"Zeller, Cody"
1.0,jrue holiday,"Favors, Derrick"
1.0,jimmer dredette,"Harris, Tobias"
1.0,tyler hansbrough,"Payton, Elfrid"
1.0,al jefferson,"Jerebko, Jonas"
1.0,cody zeller,"Miller, Mike"
1.0,gerald henderson,"Lamb, Jeremy"
1.0,lance stephenson,"Mahinmi, Ian"
1.0,marvin williams,"Blair, DeJuan"
1.0,gordon hayward,"Wallace, Gerald"
1.0,jon ingles,"Green, Danny"
1.0,ed davis,"Cunningham, Dante"
1.0,stephen curry,"Pressey, Phil"
1.0,dennis schroder,"Price, Ronnie"
1.0,pero antic,"Ginobili, Manu"
1.0,mike scott,"Middleton, Khris"
1.0,jeff teague,"Turner, Evan"
1.0,andre miller,"Splitter, Tiago"
1.0,kevin seraphin,"Davis, Ed"
1.0,nene hilario,"Terry, Jason"
1.0,ryan anderson,"Jackson, Reggie"
1.0,tyreke evans,"Humphries, Kris"
1.0,jason maxiell,"Bazemore, Kent"
1.0,enes kanter,"Splitter, Tiago"
1.0,trey burke,"Kaman, Chris"
1.0,trey burke,"Williams, Derrick"
1.0,wayne ellington,"Martin, Cartier"
1.0,wesley johnson,"Lawson, Ty"
1.0,jordan hill,"Bonner, Matt"
1.0,leandro barbosa,"Green, Willie"
1.0,shaun livingston,"Canaan, Isaiah"
1.0,pero antic,"Hansbrough, Tyler"
1.0,mike scott,"Rose, Derrick"
1.0,kris humphries,"Calderon, Jose"
1.0,alexis ajinca,"Gortat, Marcin"
1.0,terrence ross,"Williams, Shawne"
1.0,trevor booker,"Johnson, Wesley"
1.0,jeremy lin,"Olynyk, Kelly"
1.0,wesley johnson,"Holiday, Jrue"
1.0,harrison barnes,"Fields, Landry"
1.0,stephen curry,"Robinson, Thomas"
1.0,andre iguodala,"Teletovic, Mirza"
1.0,draymond green,"Smith, J.R."
1.0,dennis schroder,"Kanter, Enes"
1.0,paul millsap,"Marion, Shawn"
1.0,mike scott,"Covington, Robert"
1.0,otto porter,"Johnson, James"
1.0,andre miller,"Boozer, Carlos"
1.0,nene hilario,"Pekovic, Nikola"
1.0,ryan anderson,"Prigioni, Pablo"
1.0,ryan anderson,"Maxiell, Jason"
1.0,gary neal,"Dieng, Gorgui"
1.0,marvin williams,"Millsap, Paul"
1.0,gordon hayward,"Babbitt, Luke"
1.0,rudy gobert,"Barea, Jose Juan"
1.0,robert sacre,"Hibbert, Roy"
1.0,nene hilario,"Joseph, Cory"
1.0,omer asik,"Horford, Al"
1.0,ryan anderson,"Jones, Perry"
1.0,terrence ross,"Faried, Kenneth"
1.0,terrence ross,"Arthur, Darrell"
1.0,anthony davis,"Horford, Al"
1.0,gary neal,"Sampson, JaKarr"
1.0,gerald henderson,"Amundson, Lou"
1.0,trevor booker,"Butler, Caron"
1.0,trey burke,"Splitter, Tiago"
1.0,trey burke,"Lamb, Jeremy"
1.0,leandro barbosa,"Matthews, Wesley"
1.0,andrew bogut,"Hinrich, Kirk"
1.0,andre iguodala,"Anderson, Alan"
1.0,dennis schroder,"Smith, Greg"
1.0,dennis schroder,"Griffin, Blake"
1.0,mike scott,"Cherry, Will"
1.0,kevin seraphin,"Ellis, Monta"
1.0,ryan anderson,"Nurkic, Jusuf"
1.0,ryan anderson,"Hairston, PJ"
1.0,luke babbitt,"Rondo, Rajon"
1.0,anthony davis,"Lawson, Ty"
1.0,terrence ross,"Douglas-Roberts, Chris"
1.0,bismack biyombo,"Amundson, Lou"
1.0,cody zeller,"Hawes, Spencer"
1.0,cody zeller,"Hamilton, Justin"
1.0,jason maxiell,"Frye, Channing"
1.0,gordon hayward,"Smith, Greg"
1.0,trevor booker,"Adams, Steven"
1.0,derrick favors,"Smart, Marcus"
1.0,derrick favors,"Douglas, Toney"
1.0,derrick favors,"Jordan, Jerome"
